Freq,OTM,DTE,AnnualBudget%,PerRebal%,Annual%,Excess%,MaxDD%,Sharpe,Calmar,Trades
monthly,5%,30-60/x1,0.25,0.021,10.329722567578159,-0.7172207470490513,48.87138695102923,0.6108664884267541,0.21136544739212923,0
monthly,5%,30-60/x7,0.25,0.021,10.333393408335034,-0.713549906292176,49.742812899059984,0.60703971529273,0.2077364106711044,0
monthly,5%,30-60/x10,0.25,0.021,11.150009693694107,0.10306637906689708,49.68318342656909,0.637547231716499,0.22442220736868915,0
monthly,5%,30-60/x14,0.25,0.021,10.60758175687,-0.439361557757211,50.585519930296115,0.6144856591424701,0.20969601125947948,0
monthly,5%,30-60/x21,0.25,0.021,10.650069933930272,-0.3968733806969382,50.51407949913831,0.6136324995628945,0.2108336930916844,0
monthly,5%,30-60/x25,0.25,0.021,10.770628109029312,-0.27631520559789813,51.327867508770694,0.6131400080968902,0.2098397738263502,0
monthly,5%,45-75/x1,0.25,0.021,10.559241211424752,-0.48770210320245866,48.87138695102923,0.6196354586864368,0.21606182820236855,0
monthly,5%,45-75/x7,0.25,0.021,10.166066562123909,-0.8808767525033012,49.742812899059984,0.601863666187486,0.20437257102354225,0
monthly,5%,45-75/x10,0.25,0.021,10.446941225982354,-0.6000020886448567,49.68318342656909,0.615433562447138,0.21027117236605333,0
monthly,5%,45-75/x14,0.25,0.021,10.517297939736059,-0.5296453748911514,50.585519930296115,0.6187273338421913,0.2079112353540752,0
monthly,5%,45-75/x21,0.25,0.021,10.50428556893932,-0.5426577456878903,50.51407949913831,0.6081467392828365,0.20794767860945593,0
monthly,5%,45-75/x25,0.25,0.021,10.884885690662326,-0.1620576239648841,51.327867508770694,0.6180005867057882,0.21206580789280524,0
monthly,5%,45-75/x30,0.25,0.021,10.61289974266819,-0.43404357195901966,50.66127925503121,0.6068530493941173,0.20948740139865726,0
monthly,5%,60-90/x1,0.25,0.021,10.873827866713071,-0.1731154479141388,48.40944478905722,0.6419460417450276,0.22462203221076932,0
monthly,5%,60-90/x7,0.25,0.021,10.568126625213914,-0.47881668941329636,49.484405114217346,0.6276589525316953,0.2135647907824922,0
monthly,5%,60-90/x10,0.25,0.021,10.48911940929913,-0.55782390532808,49.44186362093392,0.6238607749337972,0.21215056717356395,0
monthly,5%,60-90/x14,0.25,0.021,10.541560788847825,-0.5053825257793854,49.617477602358676,0.6264853087828639,0.2124566039678468,0
monthly,5%,60-90/x21,0.25,0.021,10.409553040685537,-0.6373902739416728,50.31747775671812,0.6118484535734148,0.20687748084303986,0
monthly,5%,60-90/x25,0.25,0.021,10.614828396654152,-0.4321149179730579,50.879676924528404,0.6173047917205432,0.20862609667116197,0
